channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
626053,1977884,1507869,1510973,2033262,-464899,-355713,-8388608,1404857045.565,0
613525,1977459,1498178,1510196,2032053,-466717,-355352,-8388608,1404857045.567,0
615872,9,7839262,2932247,11031,973343,446968,-1609734,1404857045.57,0
616044,1977206,1503494,1510249,2032772,-465854,-355442,-8388608,1404857045.572,0
609626,1977424,1500879,1510745,2032724,-466193,-355667,-8388608,1404857045.576,0
615346,1977628,1507200,1511109,2033666,-464904,-355745,-8388608,1404857045.578,0
603883,1976356,1497559,1508916,2031329,-467509,-356795,-8388608,1404857045.581,0
610429,1978421,1507053,1511523,2033866,-464655,-355531,-8388608,1404857045.583,0
610241,1978563,1507003,1511551,2034060,-464490,-354849,-8388608,1404857045.595,0
600157,1978768,1500166,1511294,2033083,-465869,-355047,-8388608,1404857045.598,0
607645,1979883,1508904,1512546,2034786,-463347,-354071,-8388608,1404857045.6,0
600407,1979645,1502663,1511938,2034230,-464231,-353747,-8388608,1404857045.611,0
601418,1980089,1507023,1513108,2035453,-463195,-353759,-8388608,1404857045.614,0
597571,1979811,1503964,1512451,2034899,-463660,-353652,-8388608,1404857045.621,0
592181,1980095,1500521,1512545,2034581,-464026,-353740,-8388608,1404857045.629,0
599653,1980293,1509768,1513221,2035486,-462573,-354219,-8388608,1404857045.634,0
587373,1979868,1499882,1512061,2033996,-464421,-354279,-8388608,1404857045.641,0
589759,1979621,1503897,1512248,2034306,-463995,-354701,-8388608,1404857045.646,0
590725,1979688,1505504,1511964,2034526,-463679,-354215,-8388608,1404857045.654,0
583630,1979391,1501932,1511428,2033680,-464936,-355232,-8388608,1404857045.662,0
589388,1979521,1508225,1511994,2034471,-463663,-355107,-8388608,1404857045.667,0
578548,1978176,1499217,1510133,2032793,-465779,-355372,-8388608,1404857045.674,0
577455,1978092,-524288,72979,2344492,-1908722,-6102501,2351439,1404857045.682,0
583751,1978769,1507348,1511271,2034048,-463806,-354889,-8388608,1404857045.687,0
573623,1979091,1500199,1511138,2033224,-465028,-355119,-8388608,1404857045.695,0
579084,2015232,2268,2891315,-2877692,4069136,-3465462,-2819859,1404857045.7,0
573488,1979261,1502043,1510823,2033475,-464721,-354709,-8388608,1404857045.707,0
573457,1978604,1505203,1510791,2033261,-464968,-356104,-8388608,1404857045.715,0
570986,1979247,1503349,1510481,2033283,-464821,-355161,-8388608,1404857045.72,0
565529,1979976,1499812,1511190,2033550,-465155,-354696,-8388608,1404857045.727,0
572723,1979965,1508738,1511978,2034566,-463938,-355045,-8388608,1404857045.735,0
560339,1979275,1498571,1510783,2033440,-465963,-355036,-8388608,1404857045.741,0
562198,1979073,1502181,1511102,2033726,-465516,-355494,-8388608,1404857045.748,0
563225,1978519,1503923,1510234,2033396,-465378,-355599,-8388608,1404857045.756,0
555383,1977803,1499866,1510328,2032814,-466604,-356232,-8388608,1404857045.761,0
560862,1977516,1506026,1510518,2033233,-465826,-356512,-8388608,1404857045.768,0
550435,1976139,1496993,1508362,2031010,-468067,-357103,-8388608,1404857045.773,0
555202,1976227,1504503,1509267,2031936,-466834,-357627,-8388608,1404857045.781,0
555199,1976183,1504547,1508811,2031596,-466928,-357571,-8388608,1404857045.789,0
