5.6940 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
7.7868 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

7.9906 	WARNING 	t of last frame was 20.46ms (=1/48)
8.0573 	WARNING 	t of last frame was 20.44ms (=1/48)
8.0910 	WARNING 	t of last frame was 20.54ms (=1/48)
8.1575 	WARNING 	t of last frame was 20.44ms (=1/48)
8.2577 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
9.6237 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.8352 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=117, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='cm', win=Window(...), wrapWidth=UNKNOWN)
9.8375 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=0, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='cm', win=Window(...), wrapWidth=UNKNOWN)
9.8460 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.05,  0.05]), tex='gauss', texRes=128, units='cm', win=Window(...))
12.1702 	EXP 	Created Fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='Fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.05,  0.05]), tex='gauss', texRes=128, units='cm', win=Window(...))
12.1748 	EXP 	Created pattern1 = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='pattern1', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=256, units='cm', win=Window(...))
12.1847 	EXP 	Created pattern2 = GratingStim(autoDraw=False, autoLog=True, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask=None, maskParams=None, name='pattern2', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=256, units='cm', win=Window(...))
12.2853 	EXP 	Created ThankYou = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=58, italic=False, name='ThankYou', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'thank you', units='cm', win=Window(...), wrapWidth=UNKNOWN)
12.5844 	EXP 	Set  sound=A
12.5845 	EXP 	Set Sound  volume=1.000
12.7620 	EXP 	GratingStim: autoDraw = False
12.7620 	EXP 	GratingStim: autoDraw = False
12.7620 	EXP 	GratingStim: autoDraw = False
12.7620 	EXP 	GratingStim: autoDraw = False
12.7620 	EXP 	TextStim: autoDraw = True
13.3847 	DATA 	Keypress: space
13.4011 	EXP 	TextStim: autoDraw = False
13.4011 	EXP 	TextStim: autoDraw = True
13.4011 	EXP 	GratingStim: autoDraw = True
15.4078 	EXP 	Created sequence: random, trialTypes=1, nReps=120, seed=None
15.5778 	EXP 	New trial (rep=0, index=0): None
15.5920 	EXP 	TextStim: autoDraw = False
15.5920 	EXP 	GratingStim: autoDraw = False
15.5920 	EXP 	TextStim: autoDraw = False
15.5920 	EXP 	GratingStim: autoDraw = False
15.5920 	EXP 	GratingStim: autoDraw = True
17.5734 	EXP 	Created sequence: sequential, trialTypes=1, nReps=30, seed=None
17.5770 	EXP 	New trial (rep=0, index=0): None
17.5920 	EXP 	GratingStim: autoDraw = False
17.5920 	EXP 	GratingStim: autoDraw = False
17.5920 	EXP 	GratingStim: autoDraw = True
17.6558 	EXP 	GratingStim: autoDraw = False
17.6558 	EXP 	GratingStim: autoDraw = True
17.7105 	EXP 	New trial (rep=1, index=0): None
17.7262 	EXP 	GratingStim: autoDraw = False
17.7262 	EXP 	GratingStim: autoDraw = False
17.7262 	EXP 	GratingStim: autoDraw = False
17.7262 	EXP 	GratingStim: autoDraw = True
17.7948 	EXP 	GratingStim: autoDraw = False
17.7948 	EXP 	GratingStim: autoDraw = True
17.8416 	EXP 	New trial (rep=2, index=0): None
17.8562 	EXP 	GratingStim: autoDraw = False
17.8562 	EXP 	GratingStim: autoDraw = False
17.8562 	EXP 	GratingStim: autoDraw = False
17.8562 	EXP 	GratingStim: autoDraw = True
17.9270 	EXP 	GratingStim: autoDraw = False
17.9270 	EXP 	GratingStim: autoDraw = True
17.9781 	EXP 	New trial (rep=3, index=0): None
17.9934 	EXP 	GratingStim: autoDraw = False
17.9934 	EXP 	GratingStim: autoDraw = False
17.9934 	EXP 	GratingStim: autoDraw = False
17.9934 	EXP 	GratingStim: autoDraw = True
18.0565 	EXP 	GratingStim: autoDraw = False
18.0565 	EXP 	GratingStim: autoDraw = True
18.1085 	EXP 	New trial (rep=4, index=0): None
18.1233 	EXP 	GratingStim: autoDraw = False
18.1233 	EXP 	GratingStim: autoDraw = False
18.1233 	EXP 	GratingStim: autoDraw = False
18.1233 	EXP 	GratingStim: autoDraw = True
18.1938 	EXP 	GratingStim: autoDraw = False
18.1938 	EXP 	GratingStim: autoDraw = True
18.2459 	EXP 	New trial (rep=5, index=0): None
18.2575 	EXP 	GratingStim: autoDraw = False
18.2575 	EXP 	GratingStim: autoDraw = False
18.2575 	EXP 	GratingStim: autoDraw = False
18.2575 	EXP 	GratingStim: autoDraw = True
18.3277 	EXP 	GratingStim: autoDraw = False
18.3277 	EXP 	GratingStim: autoDraw = True
18.3788 	EXP 	New trial (rep=6, index=0): None
18.3930 	EXP 	GratingStim: autoDraw = False
18.3930 	EXP 	GratingStim: autoDraw = False
18.3930 	EXP 	GratingStim: autoDraw = False
18.3930 	EXP 	GratingStim: autoDraw = True
18.4574 	EXP 	GratingStim: autoDraw = False
18.4574 	EXP 	GratingStim: autoDraw = True
18.5130 	EXP 	New trial (rep=7, index=0): None
18.5287 	EXP 	GratingStim: autoDraw = False
18.5287 	EXP 	GratingStim: autoDraw = False
18.5287 	EXP 	GratingStim: autoDraw = False
18.5287 	EXP 	GratingStim: autoDraw = True
18.5946 	EXP 	GratingStim: autoDraw = False
18.5946 	EXP 	GratingStim: autoDraw = True
18.6465 	EXP 	New trial (rep=8, index=0): None
18.6615 	EXP 	GratingStim: autoDraw = False
