7.0469 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
7.6425 	WARNING 	t of last frame was 71.35ms (=1/14)
7.6933 	WARNING 	t of last frame was 22.03ms (=1/45)
8.1013 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=117, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='cm', win=Window(...), wrapWidth=UNKNOWN)
8.1035 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=0, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='cm', win=Window(...), wrapWidth=UNKNOWN)
8.1127 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.05,  0.05]), tex='gauss', texRes=128, units='cm', win=Window(...))
10.4365 	EXP 	Created Fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='Fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.05,  0.05]), tex='gauss', texRes=128, units='cm', win=Window(...))
10.4647 	EXP 	Created pattern1 = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='pattern1', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=256, units='cm', win=Window(...))
10.4939 	EXP 	Created pattern2 = GratingStim(autoDraw=False, autoLog=True, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask=None, maskParams=None, name='pattern2', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=256, units='cm', win=Window(...))
10.6030 	EXP 	Created ThankYou = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=58, italic=False, name='ThankYou', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'thank you', units='cm', win=Window(...), wrapWidth=UNKNOWN)
10.9004 	EXP 	Set  sound=A
10.9005 	EXP 	Set Sound  volume=1.000
10.9727 	EXP 	GratingStim: autoDraw = False
10.9727 	EXP 	GratingStim: autoDraw = False
10.9727 	EXP 	GratingStim: autoDraw = False
10.9727 	EXP 	GratingStim: autoDraw = False
10.9727 	EXP 	TextStim: autoDraw = True
13.6522 	DATA 	Keypress: space
13.6645 	EXP 	TextStim: autoDraw = False
13.6645 	EXP 	TextStim: autoDraw = True
13.6645 	EXP 	GratingStim: autoDraw = True
15.6901 	EXP 	Created sequence: random, trialTypes=1, nReps=120, seed=None
15.8775 	EXP 	New trial (rep=0, index=0): None
15.9011 	EXP 	TextStim: autoDraw = False
15.9011 	EXP 	GratingStim: autoDraw = False
15.9011 	EXP 	TextStim: autoDraw = False
15.9011 	EXP 	GratingStim: autoDraw = False
15.9011 	EXP 	GratingStim: autoDraw = True
17.8909 	EXP 	Created sequence: sequential, trialTypes=1, nReps=30, seed=None
17.8944 	EXP 	New trial (rep=0, index=0): None
17.9079 	EXP 	GratingStim: autoDraw = False
17.9079 	EXP 	GratingStim: autoDraw = False
17.9079 	EXP 	GratingStim: autoDraw = True
17.9736 	EXP 	GratingStim: autoDraw = False
17.9736 	EXP 	GratingStim: autoDraw = True
18.0247 	EXP 	New trial (rep=1, index=0): None
18.0402 	EXP 	GratingStim: autoDraw = False
18.0402 	EXP 	GratingStim: autoDraw = False
18.0402 	EXP 	GratingStim: autoDraw = False
18.0402 	EXP 	GratingStim: autoDraw = True
18.1039 	EXP 	GratingStim: autoDraw = False
18.1039 	EXP 	GratingStim: autoDraw = True
18.1555 	EXP 	New trial (rep=2, index=0): None
18.1706 	EXP 	GratingStim: autoDraw = False
18.1706 	EXP 	GratingStim: autoDraw = False
18.1706 	EXP 	GratingStim: autoDraw = False
18.1706 	EXP 	GratingStim: autoDraw = True
18.2405 	EXP 	GratingStim: autoDraw = False
18.2405 	EXP 	GratingStim: autoDraw = True
18.2918 	EXP 	New trial (rep=3, index=0): None
18.3043 	EXP 	GratingStim: autoDraw = False
18.3043 	EXP 	GratingStim: autoDraw = False
18.3043 	EXP 	GratingStim: autoDraw = False
18.3043 	EXP 	GratingStim: autoDraw = True
18.3710 	EXP 	GratingStim: autoDraw = False
18.3710 	EXP 	GratingStim: autoDraw = True
18.4252 	EXP 	New trial (rep=4, index=0): None
18.4408 	EXP 	GratingStim: autoDraw = False
18.4408 	EXP 	GratingStim: autoDraw = False
18.4408 	EXP 	GratingStim: autoDraw = False
18.4408 	EXP 	GratingStim: autoDraw = True
18.5075 	EXP 	GratingStim: autoDraw = False
18.5075 	EXP 	GratingStim: autoDraw = True
18.5598 	EXP 	New trial (rep=5, index=0): None
18.5759 	EXP 	GratingStim: autoDraw = False
18.5759 	EXP 	GratingStim: autoDraw = False
18.5759 	EXP 	GratingStim: autoDraw = False
18.5759 	EXP 	GratingStim: autoDraw = True
18.6413 	EXP 	GratingStim: autoDraw = False
18.6413 	EXP 	GratingStim: autoDraw = True
18.6925 	EXP 	New trial (rep=6, index=0): None
18.7078 	EXP 	GratingStim: autoDraw = False
18.7078 	EXP 	GratingStim: autoDraw = False
18.7078 	EXP 	GratingStim: autoDraw = False
18.7078 	EXP 	GratingStim: autoDraw = True
18.7759 	EXP 	GratingStim: autoDraw = False
18.7759 	EXP 	GratingStim: autoDraw = True
18.8230 	EXP 	New trial (rep=7, index=0): None
18.8383 	EXP 	GratingStim: autoDraw = False
18.8383 	EXP 	GratingStim: autoDraw = False
18.8383 	EXP 	GratingStim: autoDraw = False
18.8383 	EXP 	GratingStim: autoDraw = True
18.9081 	EXP 	GratingStim: autoDraw = False
18.9081 	EXP 	GratingStim: autoDraw = True
18.9594 	EXP 	New trial (rep=8, index=0): None
18.9720 	EXP 	GratingStim: autoDraw = False
18.9720 	EXP 	GratingStim: autoDraw = False
18.9720 	EXP 	GratingStim: autoDraw = False
18.9720 	EXP 	GratingStim: autoDraw = True
19.0390 	EXP 	GratingStim: autoDraw = False
19.0390 	EXP 	GratingStim: autoDraw = True
19.0929 	EXP 	New trial (rep=9, index=0): None
19.1084 	EXP 	GratingStim: autoDraw = False
19.1084 	EXP 	GratingStim: autoDraw = False
19.1084 	EXP 	GratingStim: autoDraw = False
19.1084 	EXP 	GratingStim: autoDraw = True
19.1721 	EXP 	GratingStim: autoDraw = False
19.1721 	EXP 	GratingStim: autoDraw = True
19.2278 	EXP 	New trial (rep=10, index=0): None
19.2391 	EXP 	GratingStim: autoDraw = False
19.2391 	EXP 	GratingStim: autoDraw = False
19.2391 	EXP 	GratingStim: autoDraw = False
19.2391 	EXP 	GratingStim: autoDraw = True
19.3057 	EXP 	GratingStim: autoDraw = False
19.3057 	EXP 	GratingStim: autoDraw = True
19.3597 	EXP 	New trial (rep=11, index=0): None
19.3754 	EXP 	GratingStim: autoDraw = False
19.3754 	EXP 	GratingStim: autoDraw = False
19.3754 	EXP 	GratingStim: autoDraw = False
19.3754 	EXP 	GratingStim: autoDraw = True
19.4392 	EXP 	GratingStim: autoDraw = False
19.4392 	EXP 	GratingStim: autoDraw = True
19.4910 	EXP 	New trial (rep=12, index=0): None
19.5091 	EXP 	GratingStim: autoDraw = False
19.5091 	EXP 	GratingStim: autoDraw = False
19.5091 	EXP 	GratingStim: autoDraw = False
19.5091 	EXP 	GratingStim: autoDraw = True
19.5757 	EXP 	GratingStim: autoDraw = False
19.5757 	EXP 	GratingStim: autoDraw = True
19.6275 	EXP 	New trial (rep=13, index=0): None
19.6394 	EXP 	GratingStim: autoDraw = False
19.6394 	EXP 	GratingStim: autoDraw = False
19.6394 	EXP 	GratingStim: autoDraw = False
19.6394 	EXP 	GratingStim: autoDraw = True
