5.1575 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
5.7479 	WARNING 	t of last frame was 31.13ms (=1/32)
5.7682 	WARNING 	t of last frame was 20.27ms (=1/49)
6.1466 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=117, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='cm', win=Window(...), wrapWidth=UNKNOWN)
6.1488 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=0, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='cm', win=Window(...), wrapWidth=UNKNOWN)
6.1581 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.05,  0.05]), tex='gauss', texRes=128, units='cm', win=Window(...))
8.4829 	EXP 	Created Fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='Fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.05,  0.05]), tex='gauss', texRes=128, units='cm', win=Window(...))
8.5062 	EXP 	Created pattern1 = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace=u'rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='pattern1', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=256, units=u'cm', win=Window(...))
8.5353 	EXP 	Created pattern2 = GratingStim(autoDraw=False, autoLog=True, color=array([-1., -1., -1.]), colorSpace=u'rgb', contrast=1.0, depth=-2.0, interpolate=True, mask=None, maskParams=None, name='pattern2', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=256, units=u'cm', win=Window(...))
8.6443 	EXP 	Created ThankYou = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=58, italic=False, name='ThankYou', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'thank you', units='cm', win=Window(...), wrapWidth=UNKNOWN)
8.9558 	EXP 	Set  sound=A
8.9560 	EXP 	Set Sound  volume=1.000
8.9784 	EXP 	GratingStim: autoDraw = False
8.9784 	EXP 	GratingStim: autoDraw = False
8.9784 	EXP 	GratingStim: autoDraw = False
8.9784 	EXP 	GratingStim: autoDraw = False
8.9784 	EXP 	TextStim: autoDraw = True
10.1894 	DATA 	Keypress: lalt
48.6948 	DATA 	Keypress: space
48.7112 	EXP 	TextStim: autoDraw = False
48.7112 	EXP 	TextStim: autoDraw = True
48.7112 	EXP 	GratingStim: autoDraw = True
50.7066 	EXP 	Created sequence: random, trialTypes=1, nReps=120, seed=None
50.9184 	EXP 	New trial (rep=0, index=0): None
50.9314 	EXP 	TextStim: autoDraw = False
50.9314 	EXP 	GratingStim: autoDraw = False
50.9314 	EXP 	TextStim: autoDraw = False
50.9314 	EXP 	GratingStim: autoDraw = False
50.9314 	EXP 	GratingStim: autoDraw = True
52.9154 	EXP 	Created sequence: sequential, trialTypes=1, nReps=30, seed=None
52.9189 	EXP 	New trial (rep=0, index=0): None
52.9330 	EXP 	GratingStim: autoDraw = False
52.9330 	EXP 	GratingStim: autoDraw = False
52.9330 	EXP 	GratingStim: autoDraw = True
52.9814 	EXP 	GratingStim: autoDraw = False
52.9814 	EXP 	GratingStim: autoDraw = True
53.0003 	EXP 	New trial (rep=1, index=0): None
53.0147 	EXP 	GratingStim: autoDraw = False
53.0147 	EXP 	GratingStim: autoDraw = False
53.0147 	EXP 	GratingStim: autoDraw = False
53.0147 	EXP 	GratingStim: autoDraw = True
53.0654 	EXP 	GratingStim: autoDraw = False
53.0654 	EXP 	GratingStim: autoDraw = True
53.0840 	EXP 	New trial (rep=2, index=0): None
53.0983 	EXP 	GratingStim: autoDraw = False
53.0983 	EXP 	GratingStim: autoDraw = False
53.0983 	EXP 	GratingStim: autoDraw = False
53.0983 	EXP 	GratingStim: autoDraw = True
53.1485 	EXP 	GratingStim: autoDraw = False
53.1485 	EXP 	GratingStim: autoDraw = True
53.1662 	EXP 	New trial (rep=3, index=0): None
53.1817 	EXP 	GratingStim: autoDraw = False
53.1817 	EXP 	GratingStim: autoDraw = False
53.1817 	EXP 	GratingStim: autoDraw = False
53.1817 	EXP 	GratingStim: autoDraw = True
53.2317 	EXP 	GratingStim: autoDraw = False
53.2317 	EXP 	GratingStim: autoDraw = True
53.2508 	EXP 	New trial (rep=4, index=0): None
53.2649 	EXP 	GratingStim: autoDraw = False
53.2649 	EXP 	GratingStim: autoDraw = False
53.2649 	EXP 	GratingStim: autoDraw = False
53.2649 	EXP 	GratingStim: autoDraw = True
53.3156 	EXP 	GratingStim: autoDraw = False
53.3156 	EXP 	GratingStim: autoDraw = True
53.3334 	EXP 	New trial (rep=5, index=0): None
53.3490 	EXP 	GratingStim: autoDraw = False
53.3490 	EXP 	GratingStim: autoDraw = False
53.3490 	EXP 	GratingStim: autoDraw = False
53.3490 	EXP 	GratingStim: autoDraw = True
53.3985 	EXP 	GratingStim: autoDraw = False
53.3985 	EXP 	GratingStim: autoDraw = True
53.4174 	EXP 	New trial (rep=6, index=0): None
53.4326 	EXP 	GratingStim: autoDraw = False
53.4326 	EXP 	GratingStim: autoDraw = False
53.4326 	EXP 	GratingStim: autoDraw = False
53.4326 	EXP 	GratingStim: autoDraw = True
53.4826 	EXP 	GratingStim: autoDraw = False
53.4826 	EXP 	GratingStim: autoDraw = True
53.5012 	EXP 	New trial (rep=7, index=0): None
53.5153 	EXP 	GratingStim: autoDraw = False
53.5153 	EXP 	GratingStim: autoDraw = False
53.5153 	EXP 	GratingStim: autoDraw = False
53.5153 	EXP 	GratingStim: autoDraw = True
53.5653 	EXP 	GratingStim: autoDraw = False
53.5653 	EXP 	GratingStim: autoDraw = True
53.5831 	EXP 	New trial (rep=8, index=0): None
53.5986 	EXP 	GratingStim: autoDraw = False
53.5986 	EXP 	GratingStim: autoDraw = False
53.5986 	EXP 	GratingStim: autoDraw = False
53.5986 	EXP 	GratingStim: autoDraw = True
53.6489 	EXP 	GratingStim: autoDraw = False
53.6489 	EXP 	GratingStim: autoDraw = True
53.6681 	EXP 	New trial (rep=9, index=0): None
53.6823 	EXP 	GratingStim: autoDraw = False
53.6823 	EXP 	GratingStim: autoDraw = False
53.6823 	EXP 	GratingStim: autoDraw = False
53.6823 	EXP 	GratingStim: autoDraw = True
53.7330 	EXP 	GratingStim: autoDraw = False
53.7330 	EXP 	GratingStim: autoDraw = True
53.7511 	EXP 	New trial (rep=10, index=0): None
53.7663 	EXP 	GratingStim: autoDraw = False
53.7663 	EXP 	GratingStim: autoDraw = False
53.7663 	EXP 	GratingStim: autoDraw = False
53.7663 	EXP 	GratingStim: autoDraw = True
53.8156 	EXP 	GratingStim: autoDraw = False
53.8156 	EXP 	GratingStim: autoDraw = True
53.8336 	EXP 	New trial (rep=11, index=0): None
53.8495 	EXP 	GratingStim: autoDraw = False
53.8495 	EXP 	GratingStim: autoDraw = False
53.8495 	EXP 	GratingStim: autoDraw = False
53.8495 	EXP 	GratingStim: autoDraw = True
53.8994 	EXP 	GratingStim: autoDraw = False
53.8994 	EXP 	GratingStim: autoDraw = True
53.9191 	EXP 	New trial (rep=12, index=0): None
53.9332 	EXP 	GratingStim: autoDraw = False
53.9332 	EXP 	GratingStim: autoDraw = False
53.9332 	EXP 	GratingStim: autoDraw = False
53.9332 	EXP 	GratingStim: autoDraw = True
53.9825 	EXP 	GratingStim: autoDraw = False
53.9825 	EXP 	GratingStim: autoDraw = True
54.0011 	EXP 	New trial (rep=13, index=0): None
54.0159 	EXP 	GratingStim: autoDraw = False
54.0159 	EXP 	GratingStim: autoDraw = False
54.0159 	EXP 	GratingStim: autoDraw = False
54.0159 	EXP 	GratingStim: autoDraw = True
54.0663 	EXP 	GratingStim: autoDraw = False
54.0663 	EXP 	GratingStim: autoDraw = True
54.0848 	EXP 	New trial (rep=14, index=0): None
54.1001 	EXP 	GratingStim: autoDraw = False
54.1001 	EXP 	GratingStim: autoDraw = False
54.1001 	EXP 	GratingStim: autoDraw = False
54.1001 	EXP 	GratingStim: autoDraw = True
54.1495 	EXP 	GratingStim: autoDraw = False
54.1495 	EXP 	GratingStim: autoDraw = True
54.1687 	EXP 	New trial (rep=15, index=0): None
54.1828 	EXP 	GratingStim: autoDraw = False
54.1828 	EXP 	GratingStim: autoDraw = False
54.1828 	EXP 	GratingStim: autoDraw = False
54.1828 	EXP 	GratingStim: autoDraw = True
54.2330 	EXP 	GratingStim: autoDraw = False
54.2330 	EXP 	GratingStim: autoDraw = True
54.2520 	EXP 	New trial (rep=16, index=0): None
54.2664 	EXP 	GratingStim: autoDraw = False
54.2664 	EXP 	GratingStim: autoDraw = False
54.2664 	EXP 	GratingStim: autoDraw = False
54.2664 	EXP 	GratingStim: autoDraw = True
54.3165 	EXP 	GratingStim: autoDraw = False
54.3165 	EXP 	GratingStim: autoDraw = True
54.3354 	EXP 	New trial (rep=17, index=0): None
54.3505 	EXP 	GratingStim: autoDraw = False
54.3505 	EXP 	GratingStim: autoDraw = False
54.3505 	EXP 	GratingStim: autoDraw = False
54.3505 	EXP 	GratingStim: autoDraw = True
54.4005 	EXP 	GratingStim: autoDraw = False
54.4005 	EXP 	GratingStim: autoDraw = True
54.4190 	EXP 	New trial (rep=18, index=0): None
54.4335 	EXP 	GratingStim: autoDraw = False
54.4335 	EXP 	GratingStim: autoDraw = False
54.4335 	EXP 	GratingStim: autoDraw = False
