16.7239 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
18.8162 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

19.0163 	WARNING 	t of last frame was 20.88ms (=1/47)
19.0656 	WARNING 	t of last frame was 20.03ms (=1/49)
19.2167 	WARNING 	t of last frame was 21.04ms (=1/47)
19.2477 	WARNING 	t of last frame was 30.97ms (=1/32)
19.3169 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
20.5600 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=117, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='cm', win=Window(...), wrapWidth=UNKNOWN)
20.5621 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=0, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='cm', win=Window(...), wrapWidth=UNKNOWN)
20.5714 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.05,  0.05]), tex='gauss', texRes=128, units='cm', win=Window(...))
22.8973 	EXP 	Created Fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='Fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.05,  0.05]), tex='gauss', texRes=128, units='cm', win=Window(...))
22.9174 	EXP 	Created pattern1 = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='pattern1', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=256, units='cm', win=Window(...))
22.9445 	EXP 	Created pattern2 = GratingStim(autoDraw=False, autoLog=True, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask=None, maskParams=None, name='pattern2', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=256, units='cm', win=Window(...))
23.1221 	EXP 	Created ThankYou = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=58, italic=False, name='ThankYou', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'thank you', units='cm', win=Window(...), wrapWidth=UNKNOWN)
23.3964 	EXP 	Set  sound=A
23.3966 	EXP 	Set Sound  volume=1.000
23.5212 	EXP 	GratingStim: autoDraw = False
23.5212 	EXP 	GratingStim: autoDraw = False
23.5212 	EXP 	GratingStim: autoDraw = False
23.5212 	EXP 	GratingStim: autoDraw = False
23.5212 	EXP 	TextStim: autoDraw = True
24.0593 	DATA 	Keypress: space
24.0779 	EXP 	TextStim: autoDraw = False
24.0779 	EXP 	TextStim: autoDraw = True
24.0779 	EXP 	GratingStim: autoDraw = True
26.0668 	EXP 	Created sequence: random, trialTypes=1, nReps=120, seed=None
26.2263 	EXP 	New trial (rep=0, index=0): None
26.2486 	EXP 	TextStim: autoDraw = False
26.2486 	EXP 	GratingStim: autoDraw = False
26.2486 	EXP 	TextStim: autoDraw = False
26.2486 	EXP 	GratingStim: autoDraw = False
26.2486 	EXP 	GratingStim: autoDraw = True
28.2316 	EXP 	Created sequence: sequential, trialTypes=1, nReps=30, seed=None
28.2351 	EXP 	New trial (rep=0, index=0): None
28.2481 	EXP 	GratingStim: autoDraw = False
28.2481 	EXP 	GratingStim: autoDraw = False
28.2481 	EXP 	GratingStim: autoDraw = True
28.3179 	EXP 	GratingStim: autoDraw = False
28.3179 	EXP 	GratingStim: autoDraw = True
28.3688 	EXP 	New trial (rep=1, index=0): None
28.3846 	EXP 	GratingStim: autoDraw = False
28.3846 	EXP 	GratingStim: autoDraw = False
28.3846 	EXP 	GratingStim: autoDraw = False
28.3846 	EXP 	GratingStim: autoDraw = True
28.4475 	EXP 	GratingStim: autoDraw = False
28.4475 	EXP 	GratingStim: autoDraw = True
28.4995 	EXP 	New trial (rep=2, index=0): None
28.5144 	EXP 	GratingStim: autoDraw = False
28.5144 	EXP 	GratingStim: autoDraw = False
28.5144 	EXP 	GratingStim: autoDraw = False
28.5144 	EXP 	GratingStim: autoDraw = True
28.5850 	EXP 	GratingStim: autoDraw = False
28.5850 	EXP 	GratingStim: autoDraw = True
28.6377 	EXP 	New trial (rep=3, index=0): None
28.6527 	EXP 	GratingStim: autoDraw = False
28.6527 	EXP 	GratingStim: autoDraw = False
28.6527 	EXP 	GratingStim: autoDraw = False
28.6527 	EXP 	GratingStim: autoDraw = True
28.7147 	EXP 	GratingStim: autoDraw = False
28.7147 	EXP 	GratingStim: autoDraw = True
28.7697 	EXP 	New trial (rep=4, index=0): None
28.7916 	EXP 	GratingStim: autoDraw = False
28.7916 	EXP 	GratingStim: autoDraw = False
28.7916 	EXP 	GratingStim: autoDraw = False
28.7916 	EXP 	GratingStim: autoDraw = True
28.8543 	EXP 	GratingStim: autoDraw = False
28.8543 	EXP 	GratingStim: autoDraw = True
28.9002 	EXP 	New trial (rep=5, index=0): None
28.9193 	EXP 	GratingStim: autoDraw = False
28.9193 	EXP 	GratingStim: autoDraw = False
28.9193 	EXP 	GratingStim: autoDraw = False
28.9193 	EXP 	GratingStim: autoDraw = True
28.9858 	EXP 	GratingStim: autoDraw = False
28.9858 	EXP 	GratingStim: autoDraw = True
29.0346 	EXP 	New trial (rep=6, index=0): None
29.0527 	EXP 	GratingStim: autoDraw = False
29.0527 	EXP 	GratingStim: autoDraw = False
29.0527 	EXP 	GratingStim: autoDraw = False
29.0527 	EXP 	GratingStim: autoDraw = True
29.1198 	EXP 	GratingStim: autoDraw = False
29.1198 	EXP 	GratingStim: autoDraw = True
29.1706 	EXP 	New trial (rep=7, index=0): None
29.1863 	EXP 	GratingStim: autoDraw = False
29.1863 	EXP 	GratingStim: autoDraw = False
29.1863 	EXP 	GratingStim: autoDraw = False
29.1863 	EXP 	GratingStim: autoDraw = True
29.2508 	EXP 	GratingStim: autoDraw = False
29.2508 	EXP 	GratingStim: autoDraw = True
29.3049 	EXP 	New trial (rep=8, index=0): None
29.3163 	EXP 	GratingStim: autoDraw = False
29.3163 	EXP 	GratingStim: autoDraw = False
29.3163 	EXP 	GratingStim: autoDraw = False
29.3163 	EXP 	GratingStim: autoDraw = True
29.3866 	EXP 	GratingStim: autoDraw = False
29.3866 	EXP 	GratingStim: autoDraw = True
